2013-04-16 08:58:00,693 [Worker-0] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updating index for repository: central|http://repo.maven.apache.org/maven2
2013-04-16 08:58:02,400 [Worker-0] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 4
2013-04-16 09:00:12,938 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cph.business:exercise7:0.0.1-SNAPSHOT @ /home/zylex/Dropbox/workspace/PBA/Test/mid-term-tests/exercise7/pom.xml.
2013-04-16 09:00:15,770 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cph.business:exercise7:0.0.1-SNAPSHOT @ /home/zylex/Dropbox/workspace/PBA/Test/mid-term-tests/exercise7/pom.xml.
2013-04-16 09:00:15,771 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /exercise7/src/main/java
2013-04-16 09:00:15,793 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /exercise7/src/main/resources
2013-04-16 09:00:15,803 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /exercise7/src/test/java
2013-04-16 09:00:15,804 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /exercise7/src/test/resources
2013-04-16 09:00:18,803 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cph.business:exercise7:0.0.1-SNAPSHOT @ /home/zylex/Dropbox/workspace/PBA/Test/mid-term-tests/exercise7/pom.xml.
2013-04-16 09:00:19,934 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:00:20,020 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:00:20,059 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:00:20,064 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:00:21,549 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cph.business:exercise7:0.0.1-SNAPSHOT @ /home/zylex/Dropbox/workspace/PBA/Test/mid-term-tests/exercise7/pom.xml.
2013-04-16 09:00:22,482 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:00:22,508 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:00:22,532 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:00:22,534 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:01:10,757 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:01:10,783 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:01:10,815 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:01:10,836 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:01:30,688 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:01:30,696 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:01:30,715 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:01:30,727 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:02:09,450 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-04-16 09:02:09,456 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-04-16 09:02:09,470 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
